Zeit;Kanal A
(ms);(mV)

19,06399984;2,44525100
19,06899983;2,25701300
19,07399983;2,44525100
19,07899983;1,50467500
19,08399983;1,50467500
19,08899983;1,31643700
19,09399983;0,56409940
19,09899983;1,88053600
19,10399983;2,06877400
19,10899983;2,25701300
19,11399983;1,12819900
19,11899983;0,93996060
19,12399983;1,12819900
19,12899983;1,69291300
19,13399983;0,93996060
19,13899983;1,12819900
19,14399983;1,12819900
19,14899983;1,50467500
19,15399983;3,00935000
19,15899983;1,12819900
19,16399983;1,12819900
19,16899983;1,31643700
19,17399983;1,12819900
19,17899983;1,31643700
19,18399983;1,50467500
19,18899983;1,12819900
19,19399983;1,50467500
19,19899983;1,50467500
19,20399983;1,12819900
19,20899983;0,93996060
19,21399983;0,56409940
19,21899983;0,93996060
19,22399983;0,75233760
19,22899983;1,69291300
19,23399983;0,56409940
19,23899983;0,75233760
19,24399983;1,12819900
19,24899983;1,12819900
19,25399983;0,56409940
19,25899983;0,56409940
19,26399983;0,56409940
19,26899983;0,18762300
19,27399983;-0,37586120
19,27899983;-0,37586120
19,28399983;0,00000000
19,28899983;-0,37586120
19,29399983;-0,37586120
19,29899983;-0,75233760
19,30399983;-1,50467500
19,30899983;-1,12819900
19,31399983;-1,88053600
19,31899983;-2,25701300
19,32399983;-2,63348900
19,32899983;-2,06877400
19,33399983;-3,00935000
19,33899983;-2,82111200
19,34399983;-3,00935000
19,34899983;-3,94992600
19,35399983;-3,19758800
19,35899983;-3,19758800
19,36399983;-3,00935000
19,36899983;-1,31643700
19,37399983;-0,75233760
19,37899983;-0,56409940
19,38399983;0,75233760
19,38899983;1,88053600
19,39399983;1,31643700
19,39899983;2,44525100
19,40399983;2,44525100
19,40899983;3,76168800
19,41399983;2,06877400
19,41899983;2,82111200
19,42399983;0,56409940
19,42899983;1,88053600
19,43399983;1,50467500
19,43899983;0,56409940
19,44399983;0,18762300
19,44899983;-0,37586120
19,45399983;-0,75233760
19,45899983;-0,75233760
19,46399982;-1,50467500
19,46899982;-1,69291300
19,47399982;-1,50467500
19,47899982;-1,69291300
19,48399982;-2,06877400
19,48899982;-1,88053600
19,49399982;-1,69291300
19,49899982;-3,19758800
19,50399982;-0,37586120
19,50899982;-0,18762300
19,51399982;-1,31643700
19,51899982;-0,18762300
19,52399982;-2,44525100
19,52899982;-0,93996060
19,53399982;-1,31643700
19,53899982;-1,88053600
19,54399982;-1,88053600
19,54899982;-2,06877400
19,55399982;-1,69291300
19,55899982;-1,31643700
19,56399982;-0,93996060
19,56899982;-1,12819900
19,57399982;-0,93996060
19,57899982;-0,18762300
19,58399982;-1,12819900
19,58899982;-1,31643700
19,59399982;-0,37586120
19,59899982;-0,93996060
19,60399982;-0,75233760
19,60899982;-0,75233760
19,61399982;-0,75233760
19,61899982;0,00000000
19,62399982;-1,69291300
19,62899982;0,00000000
19,63399982;1,31643700
19,63899982;0,18762300
19,64399982;0,00000000
19,64899982;0,37586120
19,65399982;0,18762300
19,65899982;0,75233760
19,66399982;0,00000000
19,66899982;0,56409940
19,67399982;-0,37586120
19,67899982;0,18762300
19,68399982;-0,93996060
19,68899982;-0,75233760
19,69399982;-0,75233760
19,69899982;-0,56409940
19,70399982;-2,06877400
19,70899982;0,56409940
19,71399982;-0,18762300
19,71899982;0,37586120
19,72399982;0,37586120
19,72899982;1,50467500
19,73399982;1,31643700
19,73899982;1,31643700
19,74399982;1,69291300
19,74899982;1,12819900
19,75399982;1,88053600
19,75899982;2,25701300
19,76399982;1,69291300
19,76899982;1,88053600
19,77399982;2,06877400
19,77899982;2,82111200
19,78399982;1,50467500
19,78899982;0,93996060
19,79399982;0,75233760
19,79899982;0,56409940
19,80399982;-0,18762300
19,80899982;-0,75233760
19,81399982;-2,25701300
19,81899982;0,00000000
19,82399982;0,93996060
19,82899982;0,56409940
19,83399982;0,00000000
19,83899982;0,18762300
19,84399982;0,56409940
19,84899982;0,37586120
19,85399982;0,00000000
19,85899981;-1,12819900
19,86399981;0,75233760
19,86899981;0,18762300
19,87399981;0,37586120
19,87899981;-0,75233760
19,88399981;0,37586120
